id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,cluster
3hLGpW43DMnkI0wwHKRUnR,On the Swing Shift,"['Donna Drake', 'Betty Rhodes', 'Marjorie Reynolds']",270603,10/2/42,1942,0.911,0.556,0.823,0.000242,0.694,-5.97,0.442,126.631,0.739,0,3,0,0,2
5WfBl43XUcWng7OnB8LKNW,Fear,['Drake'],280667,9/15/09,2009,0.0615,0.334,0.783,0.0,0.109,-6.144,0.181,83.944,0.308,0,9,50,1,1
1dHUNRY8eVXvSo6kvyFyNx,Own It,['Drake'],251973,1/1/13,2013,0.0487,0.654,0.342,3.37e-05,0.313,-11.305,0.101,103.064,0.294,0,8,48,1,1
185WVQvIuyv2FF0mAFbRvI,Northern Sky,['Nick Drake'],225387,1/1/04,2004,0.665,0.394,0.22,0.626,0.129,-18.82,0.0432,181.566,0.49,1,3,47,0,0
7rDJymAeuDbAKmRO07dGHS,Man In A Shed,['Nick Drake'],231907,7/3/69,1969,0.73,0.55,0.313,0.363,0.116,-17.628,0.0394,131.1,0.506,1,7,40,0,2
4QKMuKPhCK8Aji8MaeJL4T,"Deuces Remix (feat. Drake, Kanye West & André 3000)","['Chris Brown', 'Drake', 'Kanye West', 'André 3000']",338920,6/25/10,2010,0.317,0.72,0.649,0.0,0.0886,-5.187,0.239,147.941,0.243,0,5,45,1,1
3keUgTGEoZJt0QkzTB6kHg,Truffle Butter,"['Nicki Minaj', 'Drake', 'Lil Wayne']",219227,1/23/15,2015,0.0743,0.887,0.673,4.06e-05,0.124,-6.846,0.0503,105.113,0.491,0,10,63,1,1
7e44z4wOjkllaD8eulUeMd,Truffle Butter,"['Nicki Minaj', 'Drake', 'Lil Wayne']",220467,12/15/14,2014,0.0579,0.89,0.667,2.97e-05,0.108,-6.862,0.0521,105.099,0.522,1,2,63,1,1
4Kz4RdRCceaA9VgTqBhBfa,The Motto,"['Drake', 'Lil Wayne']",181573,11/15/11,2011,0.000107,0.766,0.442,6.12e-05,0.111,-8.558,0.356,201.8,0.39,1,1,72,1,1
3d8PDk3B4am5c6TsUCznUW,Shut It Down,"['Drake', 'The-Dream']",419307,1/1/10,2010,0.411,0.59,0.434,0.0,0.0979,-9.298,0.069,119.905,0.399,0,9,52,1,2
